"x","lx","cohort"
25,97644.2608484843,1975
26,97588.1227515823,1975
27,97524.5085565271,1975
28,97427.9354786586,1975
29,97374.5222269739,1975
30,97313.3486182796,1975
31,97236.8556627583,1975
32,97145.2844043522,1975
33,97064.3686300035,1975
34,96971.488998246,1975
35,96878.6566597332,1975
36,96778.5849743921,1975
37,96688.638226656,1975
38,96608.7591063797,1975
39,96509.2293054604,1975
40,96402.8863827453,1975
41,96255.6049841574,1975
42,96155.3846723379,1975
43,96045.7132173873,1975
44,95909.52034096,1975
45,95758.7508982576,1975
46,95634.8982521607,1975
0,1e+05,1976
1,98817.1593935487,1976
2,98726.0196204497,1976
3,98676.1765644198,1976
4,98623.5412865336,1976
5,98591.4024981028,1976
